cat,pot(V vs. RHE),pot(V vs. SHE),pot(V vs. Ag/AgCl),pot(V vs. Fc/Fc),jtotal(mA cm^-2),jpartial(mA cm^2),FE,elect,conc,prod,pH,Author,Title,Subject
 amorphous Cu NP,,,-1.6,,,, 25.949656750572074, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.5,,,, 27.871853546910756, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.4,,,, 37.00228832951946, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.3,,,, 12.974828375286037, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.2,,,, 10.89244851258582, KHCO3, 0.1M, HCOOH,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.6,,,, 11.853546910755156, KHCO3, 0.1M, C2H6O,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.5,,,, 14.89702517162471, KHCO3, 0.1M, C2H6O,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.4,,,, 21.945080091533185, KHCO3, 0.1M, C2H6O,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.3,,,, 9.931350114416471, KHCO3, 0.1M, C2H6O,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
 amorphous Cu NP,,,-1.2,,,, 4.965675057208242, KHCO3, 0.1M, C2H6O,,Yan-Xin Duan,Amorphizing of Cu Nanoparticles toward Highly Efficient and Robust Electrocatalyst for CO2 Reduction to Liquid Fuels with High Faradaic Efficiencies,Advanced Materials 2018.30:1706194
